chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAlleleCopyNumber	minorAlleleCopyNumberDeviation	observedTumorRatio	observedNormalRatio	unnormalisedObservedNormalRatio	majorAlleleCopyNumber	majorAlleleCopyNumberDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	eventPenalty	minStart	maxStart
chr1	10877001	11433000	DIPLOID	430	0.8248	-0.0937	0.4540	0.6070	0.9385	0.8792	1.7366	0.7435	0.9877	1.6430	0.0000	0.0000	1.7152	true	NONE	517	1.0570	0.4845	1.7321	10877001	10877001
chr1	11433001	11437000	DIPLOID	7	0.8276	-0.0202	0.1000	0.7087	0.9469	0.8856	2.1352	0.4398	0.4468	2.1150	0.0000	0.0000	2.1775	true	NONE	4	1.0095	0.5295	1.8622	11433001	11433001
chr1	11437001	11844000	DIPLOID	277	0.8108	-0.0057	0.1000	0.6623	1.0362	0.9695	1.9051	0.3173	0.3383	1.8994	0.0000	0.0000	1.8569	true	NONE	370	1.0030	0.5212	1.7643	11437001	11437001
chr1	11844001	11852000	DIPLOID	0	0.0000	0.9461	0.1836	0.6607	0.9390	0.8795	0.9461	0.2644	0.0000	1.8922	0.0000	0.0000	1.9639	true	NONE	8	0.5000	0.5055	1.0431	11844001	11844001
chr1	11852001	12105000	DIPLOID	106	0.8090	-0.0521	0.2558	0.6037	0.9377	0.8796	1.6795	0.8327	0.8806	1.6274	0.0000	0.0000	1.7007	true	NONE	232	1.0320	0.5117	1.6927	11852001	11852001
chr1	12105001	12115000	DIPLOID	2	0.8587	-0.1732	0.8042	0.6314	0.9591	0.9014	1.9294	0.2390	0.8958	1.7562	0.0000	0.0000	1.8043	true	NONE	10	1.0986	0.5182	1.8410	12105001	12105001
chr1	12115001	12389000	DIPLOID	147	0.8222	-0.0406	0.1998	0.6624	1.0174	0.9573	1.9407	0.2015	0.3300	1.9001	0.0000	0.0000	1.8797	true	NONE	265	1.0214	0.4612	1.7925	12115001	12115001
chr1	12389001	12513000	DIPLOID	19	0.8169	0.0163	0.1000	0.7102	1.1078	1.0421	2.1057	0.3512	0.3686	2.1220	0.0000	0.0000	1.9954	true	NONE	123	0.9923	0.4345	1.8358	12389001	12389001
chr1	12513001	13234000	DIPLOID	191	0.8235	-0.0619	0.3029	0.6413	1.0130	0.9530	1.8643	0.4413	0.6129	1.8024	0.0000	0.0000	1.7872	true	NONE	274	1.0343	0.4725	1.7705	12513001	12513001
chr1	13234001	13486000	DIPLOID	65	0.8158	-0.1218	0.5831	0.5444	0.9343	0.8780	1.4742	0.9590	1.2580	1.3524	0.0000	0.0000	1.4295	true	NONE	84	1.0901	0.4736	1.6384	13234001	13396001
chr1	13486001	13695000	DIPLOID	150	0.8214	-0.0747	0.3647	0.6181	1.0028	0.9412	1.7692	0.6799	0.8580	1.6945	0.0000	0.0000	1.6912	true	NONE	199	1.0441	0.4572	1.7376	13486001	13486001
chr1	13695001	14110000	DIPLOID	277	0.8200	-0.0100	0.1000	0.6909	1.0604	0.9952	2.0426	0.1458	0.2015	2.0327	0.0000	0.0000	1.9617	true	NONE	400	1.0049	0.4324	1.8211	13695001	13695001
chr1	14110001	14112000	HET_DELETION	1	0.8085	0.0000	0.1000	0.1963	0.3199	0.3005	-0.2632	2.2432	1.8945	-0.2632	0.0000	0.0000	0.5356	true	NONE	2	1.0000	0.4395	1.9053	14110001	14110001
chr1	14112001	15388000	DIPLOID	770	0.8222	-0.0326	0.1604	0.6722	1.0447	0.9839	1.9780	0.1000	0.2141	1.9454	0.0000	0.0000	1.8929	true	NONE	1242	1.0167	0.4645	1.8042	14110001	14112001
chr1	15388001	15541000	DIPLOID	146	0.8063	-0.0012	0.1000	0.6519	0.9752	0.9190	1.8526	0.4748	0.4634	1.8514	0.0000	0.0000	1.8806	true	NONE	134	1.0006	0.4955	1.7415	15388001	15388001
chr1	15541001	15752000	DIPLOID	188	0.8246	-0.0999	0.4831	0.5986	0.9349	0.8819	1.7039	0.7979	1.0564	1.6040	0.0000	0.0000	1.6804	true	NONE	192	1.0623	0.4767	1.7215	15541001	15541001
chr1	15752001	15763000	DIPLOID	3	0.8333	-0.1235	0.5907	0.5994	0.8536	0.8057	1.7310	0.7536	1.1202	1.6075	0.0000	0.0000	1.7794	true	NONE	8	1.0768	0.5572	1.7418	15752001	15752001
chr1	15763001	15825000	HET_DELETION	20	0.8301	-0.1609	0.7533	0.5408	0.8379	0.7908	1.4966	0.9676	1.4287	1.3357	0.0000	0.0000	1.5261	true	NONE	62	1.1205	0.4991	1.6630	15763001	15763001
chr1	15825001	15826000	HET_DELETION	0	0.0000	0.0000	0.1000	0.1623	0.3437	0.3244	-0.4212	2.4305	0.0000	-0.4212	0.0000	0.0000	0.3497	true	NONE	1	1.0000	0.4840	1.9685	15825001	15825001
chr1	15826001	15828000	UNKNOWN	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	NONE	2	1.0000	0.4785	1.8000	15826001	15826001
chr1	15828001	15829000	HOM_DELETION	0	0.0000	0.0000	0.1000	0.0225	0.0649	0.0612	-1.0702	3.0389	0.0000	-1.0702	0.0000	0.0000	0.0282	true	NONE	1	1.0000	0.5010	2.2281	15828001	15828001
chr1	15829001	15911000	DIPLOID	9	0.8305	-0.1381	0.6554	0.5709	0.9068	0.8566	1.6135	0.9041	1.2952	1.4754	0.0000	0.0000	1.5849	true	NONE	78	1.0936	0.4369	1.7007	15763001	15829001
chr1	15911001	15917000	DIPLOID	1	0.8182	-0.0486	0.2388	0.6383	0.9188	0.8685	1.8371	0.5172	0.6186	1.7885	0.0000	0.0000	1.8839	true	NONE	6	1.0272	0.4015	1.7543	15911001	15911001
chr1	15917001	16257000	DIPLOID	258	0.8263	-0.0432	0.2126	0.6748	1.0423	0.9863	2.0009	0.1000	0.2583	1.9577	0.0000	0.0000	1.9080	true	NONE	261	1.0221	0.5280	1.8177	15917001	15917001
chr1	16257001	16259000	DIPLOID	1	0.8824	-0.2015	0.9169	0.7068	0.8952	0.8478	2.3077	0.8151	1.5283	2.1062	0.0000	0.0000	2.2294	true	NONE	2	1.0957	0.4405	2.0037	16257001	16257001
chr1	16259001	16506000	DIPLOID	95	0.8367	-0.1502	0.7076	0.5767	0.8761	0.8304	1.6525	0.8657	1.3164	1.5023	0.0000	0.0000	1.6479	true	NONE	225	1.1000	0.4694	1.7211	16259001	16259001
chr1	16506001	16635000	NOISE	0	0.0000	11.0941	0.3150	2.6431	4.0399	3.8348	0.0000	1.5000	0.0000	11.0941	0.0000	0.0000	7.5235	true	NONE	11	0.0000	0.4994	5.4377	16506001	16605001
chr1	16635001	16728000	NOISE	9	0.8793	0.2056	0.6243	1.4152	2.9135	2.7657	5.1889	0.5843	1.0627	5.3945	0.0000	0.0000	3.1468	true	NONE	4	0.9619	0.5137	2.9933	16635001	16717001
chr1	16728001	17291000	DIPLOID	234	0.8250	-0.0465	0.2284	0.6658	1.0209	0.9689	1.9624	0.1288	0.2947	1.9159	0.0000	0.0000	1.8914	true	NONE	348	1.0243	0.5078	1.8035	16506001	16883001
chr1	17291001	17443000	DIPLOID	104	0.8173	-0.0636	0.3112	0.6174	0.9512	0.9038	1.7548	0.7092	0.8339	1.6912	0.0000	0.0000	1.7486	true	NONE	145	1.0376	0.5009	1.7274	17291001	17291001
chr1	17443001	17444000	DIPLOID	0	0.0000	0.7089	0.7902	0.5585	0.9378	0.8920	0.7089	1.2268	0.0000	1.4178	0.0000	0.0000	1.4909	true	NONE	1	0.5000	0.4650	1.2329	17443001	17443001
chr1	17444001	17517000	HET_DELETION	5	0.9189	-0.3945	1.5026	0.5121	0.7892	0.7512	1.5970	0.9175	2.2239	1.2025	0.0000	0.0000	1.4500	true	NONE	73	1.3281	0.4881	1.7966	17444001	17444001
chr1	17517001	17527000	DIPLOID	5	0.8750	-0.2579	1.1204	0.5677	0.9511	0.9058	1.7185	0.7749	1.6584	1.4605	0.0000	0.0000	1.5180	true	NONE	10	1.1766	0.5195	1.7905	17444001	17517001
chr1	17527001	18713000	DIPLOID	663	0.8113	0.0070	0.1000	0.6785	1.0614	1.0084	1.9679	0.1101	0.1705	1.9749	0.0000	0.0000	1.9027	true	NONE	1159	0.9965	0.4990	1.7843	17527001	17527001
chr1	18713001	19171000	DIPLOID	252	0.8261	-0.0141	0.1000	0.7102	1.0705	1.0130	2.1358	0.4416	0.4474	2.1218	0.0000	0.0000	2.0390	true	NONE	442	1.0066	0.4953	1.8600	18713001	18713001
chr1	19171001	19488000	DIPLOID	42	0.8224	-0.0423	0.2081	0.6611	1.0205	0.9647	1.9364	0.2160	0.3487	1.8941	0.0000	0.0000	1.8700	true	NONE	301	1.0223	0.4827	1.7915	19171001	19171001
chr1	19488001	19495000	DIPLOID	12	0.7966	-0.0347	0.1707	0.5852	0.9716	0.9163	1.5764	0.9320	0.8783	1.5418	0.0000	0.0000	1.5752	true	NONE	7	1.0225	0.4627	1.6444	19488001	19488001
chr1	19495001	19613000	DIPLOID	89	0.8049	-0.0692	0.3382	0.5721	0.8721	0.8227	1.5502	0.9474	1.0348	1.4810	0.0000	0.0000	1.6312	true	NONE	111	1.0467	0.4480	1.6477	19495001	19495001
chr1	19613001	19614000	DIPLOID	0	0.0000	0.9352	0.2199	0.6560	0.8508	0.8029	0.9352	0.3171	0.0000	1.8704	0.0000	0.0000	2.0457	true	NONE	1	0.5000	0.4580	1.0518	19613001	19613001
chr1	19614001	19874000	DIPLOID	226	0.8261	-0.0724	0.3534	0.6379	0.9749	0.9201	1.8588	0.4571	0.6696	1.7864	0.0000	0.0000	1.8159	true	NONE	253	1.0405	0.4794	1.7725	19614001	19614001
chr1	19874001	20141000	DIPLOID	139	0.8167	-0.0059	0.1000	0.6833	1.0107	0.9524	2.0031	0.1000	0.1633	1.9971	0.0000	0.0000	1.9846	true	NONE	254	1.0030	0.4478	1.8036	19874001	19874001
chr1	20141001	20501000	DIPLOID	220	0.8113	0.0195	0.1000	0.6927	1.0881	1.0242	2.0215	0.1000	0.1623	2.0410	0.0000	0.0000	1.9376	true	NONE	348	0.9905	0.4904	1.8008	20141001	20141001
chr1	20501001	20502000	DIPLOID	0	0.0000	0.9679	0.1099	0.6701	1.0094	0.9488	0.9679	0.1580	0.0000	1.9359	0.0000	0.0000	1.9248	true	NONE	1	0.5000	0.4990	1.0257	20501001	20501001
chr1	20502001	20880000	DIPLOID	300	0.8231	-0.0819	0.3987	0.6153	0.9436	0.8861	1.7634	0.6920	0.8977	1.6815	0.0000	0.0000	1.7478	true	NONE	350	1.0487	0.4654	1.7381	20502001	20502001
chr1	20880001	21075000	DIPLOID	100	0.8154	-0.0281	0.1386	0.6524	1.0047	0.9412	1.8818	0.3893	0.4305	1.8537	0.0000	0.0000	1.8482	true	NONE	187	1.0152	0.3792	1.7640	20880001	20880001
chr1	21075001	21231000	DIPLOID	85	0.8214	-0.1143	0.5491	0.5706	0.8870	0.8295	1.5881	0.9241	1.2100	1.4738	0.0000	0.0000	1.6065	true	NONE	146	1.0776	0.4310	1.6810	21075001	21075001
chr1	21231001	21743000	DIPLOID	287	0.8158	-0.0315	0.1554	0.6500	0.9866	0.9226	1.8741	0.4125	0.4633	1.8426	0.0000	0.0000	1.8583	true	NONE	417	1.0171	0.5005	1.7623	21231001	21231001
chr1	21743001	21814000	DIPLOID	26	0.8229	-0.1165	0.5589	0.5726	0.8577	0.8011	1.5997	0.9154	1.2131	1.4833	0.0000	0.0000	1.6505	true	NONE	71	1.0785	0.4521	1.6865	21743001	21743001
chr1	21814001	21955000	DIPLOID	100	0.8160	-0.0127	0.1000	0.6730	1.0358	0.9666	1.9620	0.1301	0.1878	1.9493	0.0000	0.0000	1.9073	true	NONE	107	1.0065	0.5529	1.7899	21814001	21815001
chr1	21955001	22079000	DIPLOID	70	0.8153	-0.0821	0.3995	0.5893	0.8915	0.8316	1.6429	0.8761	1.0400	1.5608	0.0000	0.0000	1.6883	true	NONE	75	1.0526	0.4680	1.6900	21955001	21955001
chr1	22079001	22088000	DIPLOID	0	0.0000	0.9208	0.2670	0.6498	0.9233	0.8614	0.9208	0.3858	0.0000	1.8416	0.0000	0.0000	1.9317	true	NONE	9	0.5000	0.3842	1.0633	22079001	22079001
chr1	22088001	22909000	DIPLOID	439	0.8167	-0.0074	0.1000	0.6816	1.0646	0.9932	1.9966	0.1000	0.1633	1.9893	0.0000	0.0000	1.9133	true	NONE	790	1.0037	0.5011	1.8016	22088001	22088001
chr1	22909001	22921000	DIPLOID	3	0.8140	-0.0427	0.2099	0.6308	1.0704	0.9959	1.7961	0.6203	0.6758	1.7534	0.0000	0.0000	1.6707	true	NONE	11	1.0243	0.5456	1.7355	22909001	22909001
chr1	22921001	23123000	DIPLOID	96	0.8182	-0.0442	0.2174	0.6436	0.9966	0.9251	1.8569	0.4626	0.5564	1.8126	0.0000	0.0000	1.8166	true	NONE	194	1.0244	0.4338	1.7604	22921001	22921001
chr1	23123001	23273000	DIPLOID	105	0.8182	-0.1051	0.5070	0.5714	0.9369	0.8658	1.5828	0.9277	1.1739	1.4777	0.0000	0.0000	1.5518	true	NONE	145	1.0711	0.4583	1.6752	23123001	23123001
chr1	23273001	23618000	DIPLOID	189	0.8333	-0.0885	0.4297	0.6446	1.0031	0.9224	1.9062	0.3139	0.6196	1.8177	0.0000	0.0000	1.8141	true	NONE	334	1.0487	0.4688	1.7979	23273001	23273001
chr1	23618001	23619000	DIPLOID	0	0.0000	0.7526	0.7136	0.5773	1.0222	0.9376	0.7526	1.0848	0.0000	1.5051	0.0000	0.0000	1.4790	true	NONE	1	0.5000	0.5190	1.1980	23618001	23618001
chr1	23619001	24058000	DIPLOID	243	0.8182	-0.0959	0.4644	0.5823	0.9229	0.8446	1.6242	0.8946	1.1119	1.5283	0.0000	0.0000	1.6189	true	NONE	405	1.0628	0.4634	1.6881	23619001	23619001
chr1	24058001	24064000	DIPLOID	9	0.8704	-0.1931	0.8841	0.6553	0.9607	0.8791	2.0605	0.2055	0.9484	1.8674	0.0000	0.0000	1.9136	true	NONE	6	1.1034	0.5123	1.9014	24058001	24058001
chr1	24064001	24194000	DIPLOID	96	0.8136	-0.0276	0.1363	0.6470	1.0523	0.9632	1.8563	0.4642	0.4886	1.8286	0.0000	0.0000	1.7672	true	NONE	126	1.0151	0.4998	1.7536	24064001	24064001
chr1	24194001	24197000	HET_DELETION	0	0.0000	0.0000	0.1000	0.1280	0.5112	0.4680	-0.5805	2.5492	0.0000	-0.5805	0.0000	0.0000	-0.0063	true	NONE	3	1.0000	0.4743	2.0322	24194001	24194001
chr1	24197001	24279000	DIPLOID	70	0.8125	-0.0426	0.2097	0.6258	1.0090	0.9239	1.7729	0.6722	0.7166	1.7302	0.0000	0.0000	1.7197	true	NONE	77	1.0246	0.4724	1.7262	24194001	24197001
chr1	24279001	24471000	DIPLOID	87	0.8182	0.0176	0.1000	0.7168	1.1108	1.0176	2.1351	0.4394	0.4413	2.1526	0.0000	0.0000	2.0224	true	NONE	191	0.9918	0.4611	1.8470	24279001	24279001
chr1	24471001	24475000	DIPLOID	0	0.0000	0.8796	0.3960	0.6321	1.0655	0.9767	0.8796	0.5766	0.0000	1.7592	0.0000	0.0000	1.6823	true	NONE	4	0.5000	0.4593	1.0963	24471001	24471001
chr1	24475001	24843000	DIPLOID	145	0.8235	-0.0875	0.4253	0.6100	0.9341	0.8569	1.7444	0.7292	0.9507	1.6569	0.0000	0.0000	1.7344	true	NONE	353	1.0528	0.4436	1.7328	24475001	24475001
chr1	24843001	24863000	DIPLOID	34	0.8293	-0.0428	0.2105	0.6872	0.9717	0.8923	2.0580	0.1975	0.3383	2.0152	0.0000	0.0000	2.0485	true	NONE	18	1.0212	0.4582	1.8403	24843001	24844001
chr1	24863001	25076000	DIPLOID	171	0.8000	0.1014	0.3380	0.7419	1.1166	1.0270	2.1677	0.5301	0.6944	2.2692	0.0000	0.0000	2.1321	true	NONE	192	0.9553	0.5246	1.8265	24863001	24863001
chr1	25076001	25146000	DIPLOID	45	0.7963	0.0495	0.1688	0.6734	1.0819	0.9967	1.9020	0.3273	0.3950	1.9514	0.0000	0.0000	1.8552	true	NONE	68	0.9746	0.4818	1.7410	25076001	25076001
chr1	25146001	26077000	DIPLOID	266	0.8296	-0.0653	0.3194	0.6598	1.0308	0.9496	1.9533	0.1594	0.3971	1.8881	0.0000	0.0000	1.8519	true	NONE	753	1.0346	0.4776	1.8074	25146001	25146001
chr1	26077001	26301000	DIPLOID	5	0.8500	-0.1588	0.7444	0.6154	0.9949	0.9136	1.8408	0.5073	1.0640	1.6820	0.0000	0.0000	1.6879	true	NONE	206	1.0944	0.4844	1.7998	26077001	26077001
chr1	26301001	27160000	DIPLOID	221	0.8182	-0.0752	0.3666	0.6069	0.9440	0.8683	1.7177	0.7762	0.9351	1.6425	0.0000	0.0000	1.7083	true	NONE	799	1.0458	0.4880	1.7171	26301001	26301001
chr1	27160001	27288000	DIPLOID	66	0.8285	-0.1462	0.6903	0.5540	0.8732	0.8016	1.5431	0.9510	1.3598	1.3970	0.0000	0.0000	1.5459	true	NONE	122	1.1046	0.4509	1.6757	27160001	27161001
chr1	27288001	27443000	DIPLOID	35	0.8077	0.0178	0.1000	0.6779	1.0385	0.9522	1.9543	0.1562	0.2069	1.9721	0.0000	0.0000	1.9268	true	NONE	131	0.9910	0.5129	1.7746	27288001	27290001
